 Who is the music Composer of DOOM(2016)?, Mick Gordon, Koji Kondo, Hans Zimmer, Michael Hunter,1,
 In what year first 'Sonic the Hedgehog' game released?, 1985, 2005, 1991, 1996,3,
 Who is the creator of 'Super Mario Bros.'?, Hideo Kojima, Masahiro Sakurai, Shigeru Miyamoto, Hidetaka Miyazaki,3,
 What is the name of main protagonist from 'Legend of Zelda' series?, Zelda, Link, Ganon, Pit,2,
 What is the name of main protagonist from 'Metroid'?, Metroid, Ridley, Captain N, Samus Aran,4,
 Which of the following 'Assassin's creed' protagonists is a Templar?, Haytham Kenway, Jacob Frye, Edward Kenway, Desmond Miles,1,
 What is the name of the final boss from game 'Hades'?, Zeus, Hades, Poseidon, Zagreus,2,
 'Naughty Dog' is responsible for developing which of the following games?, Super Mario World, Sonic the Hedgehog, Mega-man, Crash Bandicoot,4,
 Which of the following games is of 'rougelite' genre game?, Dead Cells, Hollow Knight, Sonic Mania, Katana Zero,1,
 Which of the following games is not of 'metroidvania' genre game?, Blasphemous, Ori: Will of the wisps, Cave Story, Rayman Origins,4
